feature_name,rank,mean_abs_shap,std_abs_shap,cluster_id,cutoff_rule,selected
current_ratio,91,0.0001123952524542348,1.8853114244111337e-05,77,cap,False
price_to_sales,92,0.00011231288367596459,1.0846168370682155e-05,78,cap,False
turnover_21d_vs_sector,93,0.00010812764253924881,1.1809211420155554e-05,79,cap,False
earnings_yield_vs_sector,94,0.00010763819485598923,1.3543081245704848e-05,80,cap,False
macd_hist,95,0.00010555857225416487,2.048572222249881e-05,81,cap,False
net_margin,96,0.00010524618818502744,9.976317907834339e-06,43,cap,False
price_to_ma_50_vs_sector,97,0.00010473852641867418,1.267172105358622e-05,82,cap,False
long_term_debt,98,0.00010380772819815803,1.2067113458738606e-05,83,cap,False
price_to_earnings,99,0.00010271352571522387,1.9209455049876695e-05,84,cap,False
roa,100,0.00010186791385448772,1.8070468950070763e-05,85,cap,False
vol_252d_decile,101,0.00010170203400051749,1.2647929810992641e-05,72,cap,False
operating_cash_flow_ttm,102,0.00010121248930258107,2.389939165023184e-05,86,cap,False
beta_252d_vs_sector,103,0.00010013848996419191,1.1462016508761112e-05,87,cap,False
fcf_yield_decile,104,9.831663998903763e-05,6.6613131649860615e-06,73,cap,False
net_income_growth_yoy,105,9.762909839604202e-05,1.2556521893263335e-05,88,cap,False
debt_to_equity_z,106,9.65042649555315e-05,2.2340017964989057e-05,89,cap,False
price_to_book_z,107,9.606376575093582e-05,1.778245936996348e-05,90,cap,False
gross_margin,108,9.499820153360177e-05,7.92648312581704e-06,91,cap,False
obv_flow_21d,109,9.245635846396664e-05,5.054246140080522e-06,92,cap,False
revenue_growth_yoy,110,9.156303796397652e-05,1.2080073220035427e-05,93,cap,False
turnover_21d,111,9.117237124090148e-05,1.3055530956505978e-05,94,cap,False
eps_basic,112,8.69833527902292e-05,1.4775156971716399e-05,95,cap,False
fcf_yield_vs_sector,113,8.561370064516617e-05,1.6031290466569877e-05,96,cap,False
asset_turnover_z,114,8.512511209931184e-05,1.0200483393695112e-05,97,cap,False
market_cap_vs_sector,115,8.346583250615081e-05,1.5671216669742718e-05,98,cap,False
turnover_21d_decile,116,7.82309875285075e-05,1.272584023537757e-05,99,cap,False
roe_vs_sector,117,7.736865151615715e-05,7.070688525592782e-06,100,cap,False
asset_turnover_decile,118,7.6491416588644e-05,5.149867434363436e-06,97,cap,False
price_to_ma_50_decile,119,7.623325362427588e-05,6.95261518901378e-06,24,cap,False
net_margin_vs_sector,120,7.489397539826384e-05,6.6825300024966435e-06,101,cap,False
idio_vol_252d_decile,121,7.334543562064829e-05,9.40981030885183e-06,102,cap,False
sharpe_21d,122,7.311208271791565e-05,1.4913900407644899e-05,38,cap,False
revenue_growth_qoq,123,6.99722971838997e-05,7.576281108836425e-05,103,cap,False
gross_margin_z,124,6.963812584541316e-05,7.505997268177441e-06,91,cap,False
idio_vol_252d_z,125,6.526713852922768e-05,8.472265405292874e-06,102,cap,False
revenue_growth_yoy_vs_sector,126,6.456374296297437e-05,2.657689397229256e-05,104,cap,False
dist_from_52w_high_decile,127,6.353837716151255e-05,3.2388181279954056e-06,12,cap,False
price_to_sales_z,128,6.290820335316733e-05,8.101809045659733e-06,105,cap,False
revenue_growth_yoy_z,129,6.176830366280198e-05,8.529890550188349e-06,106,cap,False
ocf_growth_yoy,130,5.788599934708107e-05,9.226002846625106e-06,107,cap,False
asset_turnover_vs_sector,131,5.7104819344720334e-05,4.13473916190898e-06,108,cap,False
has_fundamentals,132,5.553850044551626e-05,1.0223228888968089e-05,109,cap,False
accruals_vs_sector,133,5.530730660496233e-05,3.8409812743557545e-06,110,cap,False
sharpe_63d_decile,134,5.150202718386266e-05,7.240117391802984e-06,48,cap,False
revenue_ttm,135,4.966170192136116e-05,5.1770035489104625e-06,111,cap,False
ret_126d_decile,136,4.89875675012985e-05,6.140742958136748e-06,46,cap,False
vol_21d_z,137,4.8411217740914235e-05,3.8996057722853485e-06,112,cap,False
ocf_to_net_income,138,4.7623690170422225e-05,8.287034312053714e-06,113,cap,False
roic_vs_sector,139,4.588044223727277e-05,5.612668147237563e-06,114,cap,False
shares_change_growth_yoy_z,140,4.159977813502259e-05,7.654940975148769e-06,115,cap,False
capex_to_revenue,141,3.91466578910992e-05,7.252935367975041e-06,116,cap,False
bollinger_pctb_20_vs_sector,142,3.823743895888457e-05,3.7606091612164747e-06,117,cap,False
eps_diluted,143,3.777278158430296e-05,9.042735816208805e-06,95,cap,False
rsi_14_vs_sector,144,3.7538148969073295e-05,7.588402977165289e-06,118,cap,False
sharpe_63d_vs_sector,145,3.701648934523401e-05,7.051488016055969e-06,119,cap,False
ret_21d_z,146,3.6892476518747365e-05,5.038432741681898e-06,120,cap,False
ret_21d_decile,147,3.613804810274787e-05,4.037721068013447e-06,120,cap,False
vol_21d_vs_sector,148,3.5953388263188804e-05,5.672128576111153e-06,121,cap,False
interest_coverage,149,3.526517988325132e-05,6.528654911417017e-06,122,cap,False
roic_decile,150,3.40353172203917e-05,3.4264149105097097e-06,123,cap,False
ret_63d_decile,151,3.16322569459655e-05,9.709302347153175e-06,48,cap,False
eps_growth_qoq,152,3.083364506456882e-05,3.0476597751339733e-05,124,cap,False
net_debt_to_ebitda_vs_sector,153,2.757618364300093e-05,4.233235788945276e-06,125,cap,False
asset_turnover,154,2.6237642909388676e-05,8.763142653833203e-06,97,cap,False
eps_growth_yoy_vs_sector,155,2.481381723530605e-05,3.6267175994110184e-06,126,cap,False
free_cash_flow_ttm,156,2.3105738244828672e-05,3.178290685642308e-06,127,cap,False
eps_growth_yoy,157,2.3073584813441103e-05,3.867254249081746e-06,88,cap,False
roic_z,158,2.2891447014117492e-05,4.174300022116513e-06,123,cap,False
ev_to_ebitda_z,159,2.158835221311531e-05,3.2076437453932873e-06,128,cap,False
debt_to_market_cap,160,2.149345830834991e-05,6.269192190717705e-06,129,cap,False
rsi_14_z,161,2.115650132798091e-05,4.134362344400626e-06,130,cap,False
operating_margin,162,2.0304628873022312e-05,4.402496726802558e-06,131,cap,False
beta_252d_decile,163,2.0297032275077663e-05,4.570584240274879e-06,45,cap,False
eps_growth_yoy_z,164,1.906591964892496e-05,2.9765042535007573e-06,132,cap,False
net_debt_to_ebitda_z,165,1.7025528467521765e-05,1.253161941637734e-06,133,cap,False
ev_to_ebitda_decile,166,1.6197710743070176e-05,1.8857312800766334e-06,128,cap,False
roe_decile,167,1.5181658293447462e-05,2.864350757246112e-06,134,cap,False
earnings_yield_decile,168,1.5113571967666713e-05,1.1055154588434638e-06,53,cap,False
revenue_growth_yoy_decile,169,1.2626178471374192e-05,2.0277070648729296e-06,106,cap,False
price_to_book_decile,170,1.0664785343742842e-05,2.2816917567958343e-06,62,cap,False
net_margin_decile,171,0.0,0.0,43,cap,False
net_debt_to_ebitda,172,0.0,0.0,133,cap,False
price_to_book_vs_sector,173,0.0,0.0,144,cap,False
rsi_14_decile,174,0.0,0.0,130,cap,False
is_month_end,175,0.0,0.0,143,cap,False
gross_margin_decile,176,0.0,0.0,91,cap,False
roe_z,177,0.0,0.0,134,cap,False
roe,178,0.0,0.0,134,cap,False
is_quarter_end,179,0.0,0.0,142,cap,False
fcf_yield_z,180,0.0,0.0,141,cap,False
net_debt_to_ebitda_decile,181,0.0,0.0,133,cap,False
price_to_sales_decile,182,0.0,0.0,78,cap,False
gross_margin_vs_sector,183,0.0,0.0,135,cap,False
day_of_week,184,0.0,0.0,140,cap,False
debt_to_equity,185,0.0,0.0,139,cap,False
debt_to_equity_decile,186,0.0,0.0,139,cap,False
eps_ttm,187,0.0,0.0,138,cap,False
shares_change_growth_yoy_decile,188,0.0,0.0,63,cap,False
shares_change_growth_yoy_vs_sector,189,0.0,0.0,137,cap,False
eps_growth_yoy_decile,190,0.0,0.0,88,cap,False
gap_overnight,191,0.0,0.0,136,cap,False
vol_21d_decile,192,0.0,0.0,112,cap,False
roic,193,0.0,0.0,123,cap,False
