date,0 bps,5 bps,10 bps,20 bps
2025-02-10,1.069853414424263,1.0601154873641072,1.0504651442353232,1.0314241034796927
2025-02-11,1.070469150957189,1.0606056748981667,1.0508320169127954,1.0315509295749157
2025-02-12,1.0663666149118782,1.0564250528804087,1.0465751005413888,1.0271466953563506
2025-02-13,1.06362719719889,1.0536044107025468,1.0436749894565536,1.0240928119324435
2025-02-14,1.0633617349040738,1.0532390567686782,1.043211650536603,1.02343911630623
2025-02-18,1.0649178348284551,1.0546760082402589,1.0445315796284476,1.0245312618298246
2025-02-19,1.0653333554584457,1.0549787933598134,1.044723759063899,1.0245084989541027
2025-02-20,1.0631459903382574,1.0527145969493115,1.0423844340282866,1.022023922769949
2025-02-21,1.0595648442161145,1.0490645200185444,1.0386671277206698,1.018177156507548
2025-02-24,1.0495077281285188,1.0389906883654105,1.028577910446907,1.0080610603638809
2025-02-25,1.0396318874706592,1.0290943924630298,1.0186625718626234,0.9981117705652235
2025-02-26,1.027412303287336,1.0168865131851383,1.0064674291295956,0.9859451086372794
2025-02-27,1.0105693741976554,1.00011357883327,0.9897648419033367,0.969384215412655
2025-02-28,0.9983657558304184,0.9879413973752128,0.9776247669770874,0.9573102945127505
2025-03-03,0.9825417106603929,0.9721987841829701,0.9619636283159255,0.9418121940936467
2025-03-04,0.9730861370564711,0.9627740974718335,0.9525702368126172,0.9324825705585444
2025-03-05,0.9673299251530605,0.9570050467211748,0.946789272438355,0.926680482934156
2025-03-06,0.9637708281845709,0.9534222991403365,0.943183788776791,0.9230322043060082
2025-03-07,0.9691686518051135,0.9586584154947505,0.9482610422845673,0.9278000978536809
2025-03-10,0.9870591867796141,0.976269790440343,0.9655971875299975,0.9445973677245689
2025-03-11,0.9916788888713852,0.9807307289321311,0.9699022761861816,0.9485993214177322
2025-03-12,0.9938845236295466,0.982813059697887,0.9718637543429061,0.9503262941541724
2025-03-13,1.0008811404160234,0.9896127565047923,0.9784700421986544,0.9565560848198531
2025-03-14,1.0049077524396135,0.9934562567322676,0.9821340388847012,0.9598716700374681
2025-03-17,1.01025284187584,0.9985938503481978,0.9870681655169475,0.9644106930416138
2025-03-18,1.0241581667868076,1.0122336220078874,1.0004466443543634,0.9772791188305296
2025-03-19,1.0283373744917141,1.01625984805409,1.0043228796627206,0.9808641522851321
2025-03-20,1.031290436568101,1.0190712088824838,1.0069954569534096,0.9832677221702224
2025-03-21,1.0263371348409296,1.0140692818314188,1.0019467587637003,0.978130897736459
2025-03-24,1.0230157527995845,1.0106789501358107,0.9984896047876936,0.9745463194058664
2025-03-25,1.0230737691549747,1.01059918579007,0.998275374649787,0.9740728657947253
2025-03-26,1.0183708251900776,1.0058431625172986,0.9934682721178095,0.9691694434609662
2025-03-27,0.9992382704712848,0.9868339726317289,0.9745823326817814,0.950529599287666
2025-03-28,0.9791304116130186,0.9668778096845699,0.9547772250078729,0.931024650883893
2025-03-31,0.970439737100463,0.9581804153422158,0.9460746518551871,0.9223161950520555
2025-04-01,0.9572357720511678,0.9450230694704285,0.932964872638678,0.9093042677376745
2025-04-02,0.9608921000054294,0.9485486996956606,0.9363625401788928,0.9124540233704255
2025-04-03,0.9699161436908266,0.9573629743314139,0.9449709338307606,0.9206620613190125
2025-04-04,0.9815921256507093,0.9688103908267919,0.9561937295342411,0.9314471972340176
2025-04-07,0.9848531408740587,0.9719407614459237,0.9591963006986941,0.9342024996994135
2025-04-08,0.9922244063033677,0.9791249324420987,0.9661970061018702,0.940846911497005
2025-04-09,0.9829531584379654,0.9698375286110088,0.9568955022488138,0.9315231721672481
2025-04-10,0.9836470740857063,0.9704062798006972,0.9573423049442153,0.9317354747255665
2025-04-11,0.986778928105888,0.9733664962617576,0.9601349330401511,0.9342047658103548
2025-04-14,0.9875943018047112,0.9740663788364645,0.9607223125175262,0.9345758665302742
2025-04-15,0.9899065111880225,0.976224660642267,0.9627304468339601,0.936294751044273
2025-04-16,1.0065545443460717,0.9925479215340396,0.978734708420134,0.9516779473085738
2025-04-17,1.0234981557456682,1.0091452384002044,0.9949920625898684,0.9672739400482138
2025-04-21,1.0415754443666307,1.026840428154019,1.0123122884010372,0.9838651487130059
2025-04-22,1.0554785310634938,1.0404429723322097,1.0256199903100087,0.9965998670271543
2025-04-23,1.0615371086734726,1.0462952745264296,1.0312706556662914,1.001860817541511
2025-04-24,1.0610266800259835,1.045627159038315,1.0304494880859916,1.000747052540842
2025-04-25,1.0608694506537906,1.0453263786809015,1.0300093575092235,1.0000404614547889
2025-04-28,1.0594920424886154,1.0438191362761204,1.0283763836634143,0.9981679681883735
2025-04-29,1.0548533774335662,1.0391182507612253,1.0236161414343679,0.993297322824688
2025-04-30,1.0522142587919887,1.0363923633175536,1.0208066657392085,0.9903299136373568
2025-05-01,1.0564704205449564,1.040471495958641,1.024713124269346,0.9939037294841796
2025-05-02,1.0601330763255967,1.043963171823368,1.0280381531878122,0.9969080996871779
